醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,行政區,市,lng,lat,類型
131060010,衛生福利部樂生療養院,醫院,(02)82006600,新北市新莊區中正路７９４號,新莊區,新北市,121.409851,25.021622,地區醫院
401190010,國立臺灣大學醫學院附設醫院北護分院,綜合醫院,(02)23717101,臺北市萬華區康定路３７號,萬華區,臺北市,121.502781,25.043829,地區醫院
431270012,國立臺灣大學醫學院附設醫院金山分院,醫院,(02)24989898,新北市金山區五湖里玉爐路７號,金山區,新北市,121.62857,25.21795,地區醫院
701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,慢性醫院,(02)28587000,臺北市北投區知行路２２５巷１２號,北投區,臺北市,121.466358,25.120188,地區醫院
901020013,中山醫療社團法人中山醫院,綜合醫院,(02)27081166,臺北市大安區仁愛路４段１１２巷１１號,大安區,臺北市,121.554878,25.036936,地區醫院
901180023,郵政醫院（委託中英醫療社團法人經營）,醫院,(02)23956755,臺北市中正區福州街１４號,中正區,臺北市,121.518695,25.028749,地區醫院
901190010,西園醫療社團法人西園醫院,綜合醫院,(02)23076968,臺北市萬華區西園路２段２６６～２７４號,萬華區,臺北市,121.490688,25.026373,地區醫院
931010016,中英醫療社團法人中英醫院,醫院,(02)22563584,新北市板橋區文化路１段１９６號,板橋區,新北市,121.457692,25.009668,地區醫院
931010025,中英醫療社團法人板英醫院,醫院,(02)82513923,新北市板橋區文化路１段２６７、２６９、２７１號,板橋區,新北市,121.457692,25.009668,地區醫院
931050010,怡濟慈園醫療社團法人宏濟神經精神科醫院,精神科醫院,(02)22118899,新北市新店區安忠路５７巷５號,新店區,新北市,121.513374,24.958922,地區醫院
931060016,新仁醫療社團法人新仁醫院,醫院,(02)22017212,新北市新莊區中正路３９５號,新莊區,新北市,121.445514,25.034523,地區醫院
931090014,永聖醫療社團法人文化醫院,醫院,(02)26732885,新北市三峽區介壽路１段１９９號,三峽區,新北市,121.395395,24.93632,地區醫院
931100015,北新醫療社團法人北新醫院,精神科醫院,(02)26209199,新北市淡水區忠寮里演戲埔腳１之２號,淡水區,新北市,121.475847,25.193615,地區醫院
1101020027,中心診所醫療財團法人中心綜合醫院,綜合醫院,(02)27510221,臺北市大安區忠孝東路４段７７號,大安區,臺北市,121.61258,25.053227,地區醫院
1101020036,宏恩醫療財團法人宏恩綜合醫院,綜合醫院,(02)27713161,臺北市大安區仁愛路４段７１巷１號,大安區,臺北市,121.554878,25.036936,地區醫院
1101110026,康寧醫療財團法人康寧醫院,綜合醫院,(02)26345500,臺北市內湖區成功路５段４２０巷２６號,內湖區,臺北市,121.604661,25.084202,地區醫院
1231030015,天主教耕莘醫療財團法人永和耕莘醫院,綜合醫院,(02)29286060,新北市永和區中興街８０號,永和區,新北市,121.51787,25.011874,地區醫院
1301110511,中國醫藥大學附設醫院臺北分院,綜合醫院,(02)27919696,臺北市內湖區內湖路２段３６０號,內湖區,臺北市,121.579618,25.079269,地區醫院
1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院,醫院,(02)23021133,臺北市萬華區廣州街２００、２４３號,萬華區,臺北市,121.497742,25.036753,地區醫院
1401190039,同仁院醫療財團法人萬華醫院,慢性醫院,(02)23059292,臺北市萬華區中華路２段６０６巷６號,萬華區,臺北市,121.509194,25.047845,地區醫院
1431060017,財團法人台灣省私立台北仁濟院附設新莊仁濟醫院,精神科醫院,(02)22015222,新北市新莊區中環路１段２８號,新莊區,新北市,121.441947,25.038059,地區醫院
1501010010,博仁綜合醫院,綜合醫院,(02)25786677,臺北市松山區光復北路６６、６８號,松山區,臺北市,121.560522,25.050081,地區醫院
1501010029,培靈醫院,精神科醫院,(02)27606116,臺北市松山區八德路４段３５５號,松山區,臺北市,121.555025,25.047722,地區醫院
1501021219,秀傳醫院,醫院,(02)27717172,臺北市大安區光復南路１１６巷１、３、５號,大安區,臺北市,121.55571,25.03982,地區醫院
1501100037,協和婦女醫院,醫院,(02)25072222,臺北市中山區松江路８５巷５號,中山區,臺北市,121.533941,25.050274,地區醫院
1501101141,泰安醫院,慢性醫院,(02)25251111,臺北市中山區民權東路２段９２巷２－１號,中山區,臺北市,121.597007,25.069061,地區醫院
1501201020,景美醫院,醫院,(02)29331010,臺北市文山區羅斯福路６段２８０號,文山區,臺北市,121.539713,25.00105,地區醫院
1531010082,板新醫院,醫院,(02)29609955,新北市板橋區中正路１８９號,板橋區,新北市,121.45641,25.01692,地區醫院
1531010108,蕭中正醫院,醫院,(02)29685661,新北市板橋區南雅南路１段１５－１，１７，１９號,板橋區,新北市,121.456635,25.007289,地區醫院
1531010279,板橋中興醫院,綜合醫院,(02)29590707,新北市板橋區忠孝路１５號,板橋區,新北市,121.460292,25.001988,地區醫院
1531011310,板橋國泰醫院,醫院,(02)29583333,新北市板橋區忠孝路５，７，９，１１號,板橋區,新北市,121.542112,24.979408,地區醫院
1531020122,宏仁醫院,醫院,(02)29788877,新北市三重區水漾路１段１５８號,三重區,新北市,121.479545,25.061587,地區醫院
1531021165,三重中興醫院,醫院,(02)29959680,新北市三重區中興北街２１號,三重區,新北市,121.469661,25.046535,地區醫院
1531021174,祐民醫院,醫院,(02)29783456,新北市三重區重新路２段２、６號,三重區,新北市,121.499876,25.062796,地區醫院
1531021183,全民醫院,醫院,(02)22821575,新北市三重區三和路４段１０３之２號,三重區,新北市,121.501502,25.066605,地區醫院
1531021192,宏仁醫院,醫院,(02)29788877,新北市三重區水漾路１段１５８號,三重區,新北市,121.479545,25.061587,地區醫院
1531031278,永和復康醫院,醫院,(02)29240925,新北市永和區中和路５７５、５７７、５７９號,永和區,新北市,121.505915,24.999699,地區醫院
1531040259,中祥醫院,醫院,(02)22405055,新北市中和區中山路二段３５９巷２號,中和區,新北市,121.488488,25.00426,地區醫院
1531041363,蕙生醫院,醫院,(02)22236339,新北市中和區中山路２段５５１號,中和區,新北市,121.485895,25.061771,地區醫院
1531041390,怡和醫院,醫院,(02)22450009,新北市中和區連城路４９號,中和區,新北市,121.498506,25.001882,地區醫院
1531041407,祥顥醫院,醫院,(02)29468795,新北市中和區景平路４１２、４１２之１號,中和區,新北市,121.51115,24.992871,地區醫院
1531050077,同仁醫院,醫院,(02)29170201,新北市新店區民權路８９號,新店區,新北市,121.537745,24.982767,地區醫院
1531050086,宏慈療養院,精神科醫院,(02)22151177,新北市新店區安泰路１５７號,新店區,新北市,121.48824,24.939156,地區醫院
1531051163,豐榮醫院,醫院,(02)22122111,新北市新店區安德街２６巷３號,新店區,新北市,121.511571,24.963242,地區醫院
1531051172,新北仁康醫院,醫院,(02)22152345,新北市新店區安康路２段３２３號,新店區,新北市,121.516442,24.963869,地區醫院
1531060046,大順醫院,慢性醫院,(02)29911726,新北市新莊區中正路２１５號,新莊區,新北市,121.451169,25.035756,地區醫院
1531060073,新莊英仁醫院,醫院,(02)29916363,新北市新莊區大觀街４６－２號,新莊區,新北市,121.453819,25.035772,地區醫院
1531060180,新泰綜合醫院,綜合醫院,(02)29962121,新北市新莊區新樹路１７６號,新莊區,新北市,121.434313,25.021504,地區醫院
1531061230,益民醫院,醫院,(02)89911050,新北市新莊區中港路１２７號,新莊區,新北市,121.455216,25.040087,地區醫院
1531061249,新泰綜合醫院,醫院,(02)29962121,新北市新莊區新樹路１７６號,新莊區,新北市,121.434313,25.021504,地區醫院
1531061258,祥顥醫院,醫院,(02)22798898,新北市新莊區思源路２號,新莊區,新北市,121.459285,25.05998,地區醫院
1531071030,仁愛醫院,綜合醫院,(02)26834567,新北市樹林區文化街９號,樹林區,新北市,121.420039,24.987188,地區醫院
1531091149,清福醫院,醫院,(02)26739288,新北市三峽區介壽路１段２８６號,三峽區,新北市,121.395395,24.93632,地區醫院
1531100027,公祥醫院,醫院,(02)26217638,新北市淡水區英專路２１巷２５、２７號,淡水區,新北市,121.444909,25.169774,地區醫院
1531101113,泓安醫院,精神科醫院,(02)26232681,新北市淡水區下圭柔山９１巷２號,淡水區,新北市,121.437687,25.210686,地區醫院
1531120038,瑞芳礦工醫院,醫院,(02)24974101,新北市瑞芳區一坑路７１之２號,瑞芳區,新北市,121.80217,25.108602,地區醫院
1531130052,廣川醫院,醫院,(02)22617000,新北市土城區裕民路２７４、２７６、２７８號,土城區,新北市,121.451892,24.986058,地區醫院
1531130105,仁安醫院,醫院,(02)22627088,新北市土城區中央路１段６２．６４號,土城區,新北市,121.443113,24.980863,地區醫院
1531131139,元復醫院,醫院,(02)22661886,新北市土城區中央路２段３１８－３２４號,土城區,新北市,121.442912,24.980906,地區醫院
1531131157,恩樺醫院,醫院,(02)22639955,新北市土城區中央路１段７－１８號,土城區,新北市,121.443113,24.980863,地區醫院
1531140058,全民醫院,醫院,(02)22821575,新北市蘆洲區三民路５、７、９號,蘆洲區,新北市,121.469065,25.088877,地區醫院
1531210019,台安醫院,精神科醫院,(02)26371600,新北市三芝區楓子林路４２－５號,三芝區,新北市,121.497646,25.210358,地區醫院
1532040066,怡仁綜合醫院,綜合醫院,(03)4855566,桃園市楊梅區楊新北路３２１巷３０號,楊梅區,桃園市,121.155427,24.916951,地區醫院
1701110019,德威國際牙醫口腔醫院,牙醫醫院,(02)27990123,臺北市內湖區內湖路１段６５９號,內湖區,臺北市,121.581919,25.079141,地區醫院
101090517,臺北市立聯合醫院,綜合醫院,(02)25553000,臺北市大同區鄭州路１４５號,大同區,臺北市,121.508885,25.050693,區域醫院
131020016,新北市立聯合醫院,綜合醫院,(02)29829111,新北市三重區新北大道１段３號,三重區,新北市,121.491392,25.061192,區域醫院
131060029,衛生福利部臺北醫院,綜合醫院,(02)22765566,新北市新莊區思源路１２７號,新莊區,新北市,121.45809,25.043232,區域醫院
131230012,衛生福利部八里療養院,精神科醫院,(02)26101660,新北市八里區華富山３３號,八里區,新北市,121.412529,25.144063,區域醫院
401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,醫院,(02)23220322,臺北市大安區基隆路３段１５５巷５７號,大安區,臺北市,121.553373,25.02554,區域醫院
501010019,三軍總醫院松山分院附設民眾診療服務處,綜合醫院,(02)27642151,臺北市松山區健康路１３１號,松山區,臺北市,121.557702,25.05394,區域醫院
501160014,三軍總醫院北投分院附設民眾診療服務處,醫院,(02)28959808,臺北市北投區新民路６０號,北投區,臺北市,121.509688,25.13989,區域醫院
1101010021,基督復臨安息日會醫療財團法人臺安醫院,綜合醫院,(02)27718151,臺北市松山區八德路２段４２４、４２６號,松山區,臺北市,121.549348,25.047843,區域醫院
1101160017,振興醫療財團法人振興醫院,綜合醫院,(02)28264400,臺北市北投區振興街４５號,北投區,臺北市,121.523114,25.116369,區域醫院
1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,綜合醫院,(02)66030576,臺北市北投區立德路１２５號,北投區,臺北市,121.472008,25.128341,區域醫院
1131090019,行天宮醫療志業醫療財團法人恩主公醫院,綜合醫院,(02)26723456,新北市三峽區復興路３９９號,三峽區,新北市,121.363008,24.938386,區域醫院
1131110516,國泰醫療財團法人汐止國泰綜合醫院,綜合醫院,(02)26482121,新北市汐止區建成路５９巷２號,汐止區,新北市,121.661084,25.072872,區域醫院
1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,綜合醫院,(02)22630588,新北市土城區金城路２段６號,土城區,新北市,121.464359,24.985777,區域醫院
1231050017,天主教耕莘醫療財團法人耕莘醫院,綜合醫院,(02)22193391,新北市新店區中正路３６２號,新店區,新北市,121.535551,24.97612,區域醫院
1301170017,臺北醫學大學附設醫院,綜合醫院,(02)27372181,臺北市信義區吳興街２５２號,信義區,臺北市,121.563635,25.026639,區域醫院
1331160010,輔仁大學學校財團法人輔仁大學附設醫院,綜合醫院,(02)85128888,新北市泰山區貴子路６９號,泰山區,新北市,121.430799,25.039676,區域醫院
401180014,國立臺灣大學醫學院附設醫院,綜合醫院,(02)23123456,臺北市中正區中山南路７、８號,中正區,臺北市,121.517564,25.04536,醫學中心
401180023,國立臺灣大學醫學院附設醫院兒童醫院,綜合醫院,(02)23123456,臺北市中正區中山南路８號,中正區,臺北市,121.518748,25.044343,醫學中心
501110514,三軍總醫院附設民眾診療服務處,綜合醫院,(02)87923311,臺北市內湖區成功路２段３２５號,內湖區,臺北市,121.597624,25.08718,醫學中心
601160016,臺北榮民總醫院,綜合醫院,(02)28712121,臺北市北投區石牌路２段２０１號,北投區,臺北市,121.516252,25.112364,醫學中心
1101010012,長庚醫療財團法人台北長庚紀念醫院,綜合醫院,(02)27135211,臺北市松山區敦化北路１９９、１９７號,松山區,臺北市,121.55147,25.054255,醫學中心
1101020018,國泰醫療財團法人國泰綜合醫院,綜合醫院,(02)27082121,臺北市大安區仁愛路４段２８０號,大安區,臺北市,121.554878,25.036936,醫學中心
1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,綜合醫院,(02)25433535,臺北市中山區中山北路２段９２號,中山區,臺北市,121.521853,25.051438,醫學中心
1101100020,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,綜合醫院,(02)25433535,臺北市中山區中山北路２段９２號,中山區,臺北市,121.521853,25.051438,醫學中心
1101150011,新光醫療財團法人新光吳火獅紀念醫院,綜合醫院,(02)28332211,臺北市士林區文昌路９５號,士林區,臺北市,121.520986,25.09625,醫學中心
1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,綜合醫院,(02)89667000,新北市板橋區南雅南路２段２１號,板橋區,新北市,121.456215,25.006937,醫學中心
1131050515,佛教慈濟醫療財團法人台北慈濟醫院,綜合醫院,(02)66289779,新北市新店區建國路２８９號,新店區,新北市,121.535808,24.985781,醫學中心
1131100010,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,綜合醫院,(02)28094661,新北市淡水區民生路４５號,淡水區,新北市,121.460499,25.139535,醫學中心
1301200010,臺北市立萬芳醫院－委託臺北醫學大學辦理,綜合醫院,(02)29307930,臺北市文山區興隆路３段１１１號,文山區,臺北市,121.558222,24.993743,醫學中心
1331040513,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,綜合醫院,(02)22490088,新北市中和區中正路２９１號,中和區,新北市,121.49404,24.993751,醫學中心
